hour,hourly_actual_aqi,hourly_predicted_aqi,accuracy
2020-11-26 01:00:00,318.4216216216216,177.91069,55.87267893479524
2020-11-26 04:00:00,350.5693693693694,270.53632,77.17055155292942
2020-11-26 18:00:00,225.05135135135137,179.11469,79.58836238177435
2020-11-26 20:00:00,168.8186512118019,451.79565,-67.62188363301561
2020-11-27 08:00:00,202.3586170212766,339.18903,32.382217831008944
2020-11-27 11:00:00,176.981875658588,253.13855,56.96922418597725
2020-11-27 12:00:00,183.37924130663856,383.3749,-9.061236002281873
2020-11-27 15:00:00,213.8036036036036,246.96712,84.4887957232692
2020-11-27 18:00:00,225.05135135135137,437.8693,5.435830274448449
2020-11-27 19:00:00,114.87838383838384,254.34106,-21.40028084913139
2020-11-27 23:00:00,187.5976817702845,147.50363,78.6276409174484
2020-11-28 00:00:00,193.0604847207587,165.92303,85.94355023398944
2020-11-28 03:00:00,247.91351351351352,274.22217,89.38797079579028
2020-11-28 07:00:00,237.0086170212766,172.34314,72.71598046283947
2020-11-28 10:00:00,218.92531914893615,465.0469,-12.422623077782987
2020-11-28 12:00:00,301.62432432432433,170.03616,56.3734916641687
2020-11-29 01:00:00,197.1085353003161,237.25797,79.63080100696678
2020-11-29 14:00:00,485.43729152768515,181.57767,37.40496875814752
2020-11-29 17:00:00,123.42761467889908,305.11694,-47.20314344010177
2020-11-29 23:00:00,386.7207207207207,203.16733,52.53593019329868
2020-11-30 04:00:00,438.0374916611074,315.4337,72.0106592032933
2020-11-30 06:00:00,473.5031354236158,243.45628,51.41598130105933
2020-11-30 07:00:00,262.62223404255315,143.3992,54.602840830383734
2020-11-30 08:00:00,288.2358510638298,349.90176,78.60574504365526
2020-11-30 18:00:00,101.34432432432432,233.8215,-30.719879228032738
2020-12-01 00:00:00,387.79099099099096,457.11365,82.12370630560703
2020-12-01 04:00:00,469.7650433622415,139.10342,29.611276112982566
2020-12-01 08:00:00,331.74,288.22855,86.8838687353283
2020-12-01 11:00:00,454.2446964643095,417.60855,91.93471146188772
2020-12-01 15:00:00,119.23972972972972,173.58115,54.426753034684324
2020-12-01 16:00:00,115.6091891891892,175.4051,48.277540201602996
2020-12-01 18:00:00,107.82783783783783,453.5636,-220.63682971639133
2020-12-02 04:00:00,490.54909939959975,110.238045,22.47237735706655
2020-12-02 06:00:00,471.36991327551704,183.86053,39.005572797452125
2020-12-02 07:00:00,328.33153153153154,188.35214,57.3664495320931
2020-12-03 00:00:00,302.9225225225225,187.97186,62.05278538805014
2020-12-03 02:00:00,409.22908605737155,304.90286,74.50664503990865
2020-12-03 09:00:00,356.6738738738739,165.74234,46.468875975620236
2020-12-03 14:00:00,170.39237288135593,311.60205,17.12676130273843
2020-12-04 05:00:00,108.08702702702703,240.78569,-22.770203724272122
2020-12-04 09:00:00,326.02,438.05414,65.63580817631012
2020-12-05 02:00:00,449.27818545697136,291.6588,64.91719894655235
2020-12-05 03:00:00,453.0162775183456,285.63147,63.05103898060162
2020-12-05 06:00:00,420.1131420947298,335.47058,79.8524367464428
2020-12-05 07:00:00,354.44414414414416,377.92435,93.37548576620436
2020-12-06 08:00:00,352.90810810810814,125.357925,35.52140699942137
2020-12-06 12:00:00,493.10500333555706,394.833,80.07077704377232
2020-12-06 15:00:00,110.94,472.75162,-226.13270004654822
2020-12-06 18:00:00,477.9,154.58636,32.34701082780785
2020-12-06 20:00:00,451.55010006671114,170.82864,37.83160357479496
2020-12-07 10:00:00,381.6963963963965,408.98648,92.85031648866996
2020-12-07 11:00:00,447.37611741160777,170.18123,38.03985550733373
2020-12-07 21:00:00,75.255,314.95013,-218.51057640999773
2020-12-07 22:00:00,487.85,313.79892,64.32282867228335
2020-12-07 23:00:00,478.65,199.79027,41.740367271354
2020-12-08 03:00:00,94.43410256410256,442.51813,-268.59991827742704
2020-12-08 04:00:00,102.84761467889908,102.35109,99.51722244321347
2020-12-08 17:00:00,156.9256779661017,190.29822,78.7335379143337
2020-12-09 02:00:00,122.56899082568808,190.8316,44.30678369923263
2020-12-09 05:00:00,130.28311926605505,180.31226,61.59967854994786
2020-12-09 11:00:00,123.42761467889908,237.86682,7.282331504274211
2020-12-09 12:00:00,127.71174311926605,101.45706,79.44223396342693
2020-12-09 15:00:00,129.4289908256881,118.403076,91.4811089977032
2020-12-09 16:00:00,124.28174311926604,176.80507,57.73850242826341
2020-12-09 23:00:00,352.81891891891894,263.57663,74.70592292678167
2020-12-10 04:00:00,413.42948632421616,344.24402,83.26547330122636
2020-12-10 09:00:00,211.81171171171172,116.97597,55.226392564372354
2020-12-10 11:00:00,376.0081081081081,111.83178,29.741853185736915
2020-12-10 16:00:00,119.13899082568808,270.91467,-27.3937952420102
2020-12-10 22:00:00,240.10450450450452,247.97958,96.72014515013727
2020-12-11 02:00:00,354.15675675675675,448.56393,73.34310986073994
2020-12-11 07:00:00,201.05959866220735,229.58105,85.81442705791407
2020-12-11 14:00:00,461.3048032021348,223.54193,48.4586177296732
2020-12-11 18:00:00,330.70000000000005,478.15182,55.41220896547572
2020-12-11 20:00:00,315.90450450450453,404.20557,72.04817891399001
2020-12-11 21:00:00,304.47837837837835,291.03326,95.58421379875003
2020-12-11 22:00:00,286.9585585585586,170.64622,59.46720175650826
2020-12-12 04:00:00,215.24054054054056,401.24957,13.580856214988515
2020-12-12 13:00:00,466.42,166.7178,35.74413703423484
2020-12-12 18:00:00,102.64027027027026,115.528946,87.44286660718731
2020-12-13 02:00:00,270.9837837837838,145.50204,53.69400435925329
2020-12-13 03:00:00,280.5765765765766,222.61787,79.34300035368406
