day,daily_actual_aqi,daily_predicted_aqi,accuracy
2020-11-26,265.71524838853605,269.83936,98.44792231336925
2020-11-27,186.29296493573233,294.62622,41.847908317544004
2020-11-28,239.70645174576185,249.51428,95.90839945718146
2020-11-29,298.17354055690527,231.77997,77.73324481736985
2020-11-30,312.7486073030861,257.20248,82.23936993637938
2020-12-01,283.745355367757,300.6577,94.03959953667851
2020-12-02,430.08351473554944,160.81691,37.39201905679237
2020-12-03,309.80446383378097,242.55478,78.2928612619578
2020-12-04,217.0535135135135,339.41992,43.62385276298782
2020-12-05,419.21293730354773,322.6713,76.9707388425307
2020-12-06,377.28064230207525,263.67148,69.88735935738043
2020-12-07,374.16550276160086,281.5414,75.2451549583125
2020-12-08,118.06913173636777,245.0558,-7.552810618424516
2020-12-09,158.64587439339735,181.3218,85.70658184724566
2020-12-10,272.0985602948457,218.3892,80.26106631948764
2020-12-11,322.0803714375058,320.8177,99.60796013628867
2020-12-12,261.4336036036036,227.8321,87.14721612046236
2020-12-13,201.26517868161707,239.02846,81.2370529232369
2020-12-14,228.80408064556187,341.7701,50.62761550419327
2020-12-15,280.4631708104311,223.1546,79.56645480615154
2020-12-16,232.0975362596639,245.42867,94.25623851234921
2020-12-17,201.64569642227033,245.54451,78.22972954825894
2020-12-18,206.16790133294066,305.77277,51.687501237407155
2020-12-19,201.66982309092046,180.98099,89.74123385194571
2020-12-20,207.74035605679444,234.9132,86.91980835692793
2020-12-21,285.52635300438055,193.21016,67.66806540578536
2020-12-22,309.8672230569615,168.68794,54.43878214698225
2020-12-23,240.59574085716008,217.36665,90.34517929036483
2020-12-24,202.64247747747748,348.79745,27.875448831920664
2020-12-25,368.7022286329024,268.02045,72.69292832080973
2020-12-26,240.8867684192139,313.2411,69.96334795688911
2020-12-27,329.4623337142978,253.1628,76.84119552192719
2020-12-29,219.11504855751429,325.06638,51.64580074604186
2020-12-30,321.5101105441666,168.67458,52.46322596828346
2020-12-31,251.9868365853016,302.82413,79.825418144509
2021-01-01,223.5395045045045,320.27527,56.725427899374395
2021-01-02,382.1328498879133,232.03816,60.721856888123185
2021-01-03,178.68660625852408,276.71988,45.13675370271913
2021-01-04,264.5367631650832,235.96909,89.20086677937604
2021-01-05,198.79323833844384,316.89923,40.58852624679672
2021-01-06,252.36385342808336,247.28946,97.98925474839692
2021-01-07,279.4671307756024,291.75128,95.60443801437874
2021-01-08,357.9702085646115,248.22392,69.34206165502437
2021-01-09,193.86048371023676,227.40042,82.69893028716801
2021-01-10,213.0957145879661,258.96808,78.47335216758712
2021-01-11,201.2928286612182,187.00694,92.90293349881911
2021-01-12,221.37725225225225,273.42804,76.48774353779638
2021-01-13,306.2423531603652,219.30957,71.61307639170913
2021-01-14,174.176699006699,245.92915,58.804791430268104
2021-01-15,279.25276706780323,267.8448,95.91481954147402
2021-01-16,84.84769230769231,213.64845,-51.802314179639325
2021-01-17,309.47747347080235,227.84479,73.62241427214968
2021-01-18,221.1608607068607,287.43732,70.03246597257677
2021-01-19,285.5037413374913,261.9956,91.76608483005742
2021-01-20,321.478978978979,197.66801,61.48707301303591
2021-01-21,307.6349073439633,198.72734,64.59843663841674
2021-01-22,191.6764864864865,349.73752,17.5375995661294
2021-01-23,393.75017679453975,206.64348,52.48085983752637
2021-01-24,391.47954165639953,301.603,77.0418284312001
2021-01-25,233.00655262680587,294.36862,73.66508859617937
2021-01-26,306.15833765414885,291.33408,95.15797549725376
2021-01-28,277.9499537569484,189.60815,68.21665257864251
2021-01-29,258.4351351351351,280.21405,91.57277312682523
2021-01-30,219.62072072072075,249.82935,86.2450934122838
2021-01-31,243.9551068838863,323.06046,67.57380919431598
2021-02-01,156.57202023461164,214.09483,63.261115840992474
2021-02-02,101.72007623007624,160.2141,42.49510813681009
2021-02-03,355.26849058531513,284.2381,80.0065600178166
2021-02-05,297.21893233659193,186.30717,62.68348157298057
2021-02-06,220.720301812361,306.03763,61.3459542865263
2021-02-07,263.48333303283266,386.29962,53.38745447937139
2021-02-08,274.8341318998991,328.1949,80.5843790270408
2021-02-09,277.68287234042555,129.00795,46.458735010110445
2021-02-10,264.677093828318,306.87494,84.05685791461151
2021-02-11,196.96011405901314,217.1274,89.76072812141693
2021-02-12,91.33121440507121,238.36674,-60.991542210219194
2021-02-13,106.92067567567568,186.12463,25.922692114631275
2021-02-14,242.51044264059715,285.4383,82.29855574505977
2021-02-15,316.03476113535424,224.54352,71.05025955364344
2021-02-16,221.16799735874133,245.25183,89.11061546717292
2021-02-17,148.51774943289635,293.58887,2.320686713509602
2021-02-18,232.27272209673788,238.90225,97.14579911033778
2021-02-19,178.81417594989347,201.9928,87.03759264133285
2021-02-20,350.19924833973397,246.45517,70.37569921870427
2021-02-21,429.15375114941486,261.591,60.955077921920065
2021-02-22,305.9448680418599,185.37213,60.59004438743955
2021-02-23,250.12896753581694,283.32452,86.72862375078132
2021-02-24,197.29997420736885,358.6372,18.227443530068413
2021-02-25,281.6117694556258,322.60175,85.44450886087634
2021-02-26,276.1516120145145,214.64621,77.7276685625558
2021-02-27,334.5682446808511,316.91937,94.72488127524093
2021-02-28,271.0989915613447,193.91539,71.52936604368334
2021-03-01,204.76440903849164,303.90277,51.58418280641433
2021-03-02,177.19271162627328,238.28688,65.52105992048487
2021-03-03,178.6128869304596,272.45435,47.46098090380162
2021-03-04,363.21,206.75021,56.92305102366314
2021-03-05,278.2101178838413,168.65811,60.62256572662969
2021-03-06,360.37036442713566,295.62634,82.03403274944132
2021-03-07,258.4627947033418,326.72235,73.59018095845329
